ID,DiscriptionEN,DiscriptionJP,DiscriptionDetailJP,Already,Blacelet,Ring,Necklace,Crown
0000,"Unselected",未選択,未選択,-,0.00,0.00,0.00,0.00
0001,"Anything",任意,任意,-,100,100,100,100
3428,"Boosts maximum HP by 27%.",最大HPが元の27%上がる,最大HPが元の[27/30/32/35/37]%上がる,下,4.49,0.46,1.78,1.28
3433,"Boosts Attack by 27%.",攻撃力が元の27%上がる,攻撃力が元の[27/30/32/35/37]%上がる,上,0.54,3.85,0.85,1.28
3438,"Boosts Healing by 27%.",回復力が元の27%上がる,回復力が元の[27/30/32/35/37]%上がる,上,0.00,0.00,7.10,1.28
3443,"Boosts Dexterity by 27%.",器用さが元の27%上がる,器用さが元の[27/30/32/35/37]%上がる,上,0.54,0.96,0.85,1.28
3448,"Boosts Agility by 27%.",素早さが元の27%上がる,素早さが元の[27/30/32/35/37]%上がる,上,4.49,0.00,0.00,1.28
3453,"Boosts Critical Rate by 35%.",クリティカル率が元の35%上がる,クリティカル率が元の[35/40/45/50/55]%上がる,上,0.22,3.85,0.36,1.28
3458,"Boosts Physical Defense by 15%.",物理防御が元の15%分上がる,物理防御が元の[15/17/20/22/25]%分上がる,上,4.49,0.00,0.00,1.28
3463,"Boosts Ether Defense by 15%.",エーテル防御が元の15%分上がる,エーテル防御が元の[15/17/20/22/25]%分上がる,上,4.49,0.00,0.00,1.28
3468,"Boosts Block Rate by 35%.",ガード率が元の35%分上がる,ガード率が元の[35/40/45/50/55]%分上がる,上,4.49,0.00,0.00,1.28
3473,"Increases Physical Defenseby 9 percentage points.",物理防御に9%加える,物理防御に[9/10/11/12/13]%加える,上,4.49,0.46,0.36,1.28
3478,"Increases Ether Defense by 9percentage points.",エーテル防御に9%加える,エーテル防御に[9/10/11/12/13]%加える,上,4.49,0.46,0.36,1.28
3483,"Boosts damage dealt toTerrestrial Life by 95%.",陸生生物へのダメージが95%上がる,陸生生物へのダメージが[95/100/105/110/115]%上がる,上,0.22,2.89,0.36,1.28
3488,"Boosts damage dealt toAquatic Life by 95%.",水生生物へのダメージが95%上がる,水生生物へのダメージが[95/100/105/110/115]%上がる,上,0.22,2.89,0.36,1.28
3493,"Boosts damage dealt toAerial Life by 95%.",飛行生物へのダメージが95%上がる,飛行生物へのダメージが[95/100/105/110/115]%上がる,上,0.22,2.89,0.36,1.28
3498,"Boosts damage dealt toMachines by 95%.",機械へのダメージが95%上がる,機械へのダメージが[95/100/105/110/115]%上がる,上,0.22,2.89,0.36,1.28
3503,"Boosts damage dealt whenattacking from the front by 22%.",正面から攻撃した時、与ダメージが22%上がる,正面から攻撃した時、与ダメージが[22/25/27/30/32]%上がる,上,2.25,1.93,0.85,1.28
3508,"Boosts damage dealt whenattacking from the side by 22%.",側面から攻撃した時、与ダメージが22%上がる,側面から攻撃した時、与ダメージが[22/25/27/30/32]%上がる,上,0.54,3.85,1.78,1.28
3513,"Boosts damage dealt whenattacking from behind by 22%.",背面から攻撃した時、与ダメージが22%上がる,背面から攻撃した時、与ダメージが[22/25/27/30/32]%上がる,上,0.54,3.85,1.78,1.28
3518,"Boosts damage dealt whenattacking toppled enemiesby 95%.",ダウン状態の敵を攻撃した時、与ダメージが95%上がる,ダウン状態の敵を攻撃した時、与ダメージが[95/100/105/110/115]%上がる,上,0.22,2.89,0.36,1.28
3523,"Boosts damage dealt whenattacking launched enemiesby 95%.",ライジング状態の敵を攻撃した時与ダメージが95%上がる,ライジング状態の敵を攻撃した時与ダメージが[95/100/105/110/115]%上がる,上,0.22,2.89,0.36,1.28
3528,"Boosts Smash damage by 95%.",スマッシュのダメージが95%上がる,スマッシュのダメージが[95/100/105/110/115]%上がる,上,0.22,2.89,0.36,1.28
3533,"Boosts damage dealt whenattacking dazed enemies by 95%.",スタン状態の敵を攻撃した時、与ダメージが95%上がる,スタン状態の敵を攻撃した時、与ダメージが[95/100/105/110/115]%上がる,上,0.22,2.89,0.36,1.28
